ID, Station Name, Latitude (deg), Longitude (deg), Ellipsoidal Elevation (m), X (m), Y (m), Z (m), Epoch Date (YYYYMMDD)
P453, WilburLevaWA2005,   47.7591318974, -118.7454587965,  644.22731, -2066036.81797, -3766595.75311,  4699391.07274, 20230517
P454, CouleeDam_WA2005,   47.9538149700, -118.9925805741,  478.95203, -2074429.38977, -3743512.83966,  4713794.27303, 20230517
P455, BannackPasID2007,   44.4855671265, -112.7285513788, 2593.92815, -1761705.07985, -4205603.69553,  4448561.77355, 20230517
P456, HLF_KirkwdMT2008,   44.8634860873, -111.2251096808, 2956.33565, -1640155.19425, -4223082.22082,  4478693.68554, 20230517
P457, HLF_WapitiMT2007,   45.0412270057, -111.2726354382, 2261.94587, -1638414.09005, -4208252.39149,  4492187.54431, 20230517
P458, HLFContourMT2007,   44.7656866889, -111.3015126589, 2393.92310, -1648424.11220, -4227659.41998,  4470584.19659, 20230517
P459, GTNPMoose_WY2007,   43.7483278570, -110.7458127480, 2135.66642, -1635233.57807, -4317077.49711,  4389410.74167, 20230517
P460, HLFBBarRchMT2005,   45.1399852681, -111.0285966521, 2197.83323, -1617668.71802, -4207892.53482,  4499893.31711, 20230517
P461, HLFStoryRnMT2005,   45.3542491899, -110.7586859726, 1544.09062, -1591669.65082, -4199218.66620,  4516199.22607, 20230517
P462, GoldValleyCS2006,   36.0713158067, -116.6287102889, 1334.41253, -2313834.16190, -4614842.76286,  3735376.36582, 20230517
P463, Ballarat__CS2007,   36.0224648009, -117.1646750851, 1327.01405, -2358354.97424, -4595829.87870,  3730988.42628, 20230517
P464, PanamintVQCS2006,   36.1590444019, -117.4100033430,  911.55992, -2373746.66738, -4577465.32936,  3742992.34956, 20230517
P465, HorseshoeMCS2007,   36.4668339385, -118.1324364454, 2901.55682, -2422489.53578, -4530744.57503,  3771699.98441, 20230517
P466, CerroGordoCS2007,   36.5312486270, -117.7894636827, 2754.60061, -2393287.04367, -4541296.83768,  3777361.15865, 20230517
P467, AlabamaHilCS2006,   36.5702018336, -118.0906262375, 1380.13073, -2415391.75208, -4525408.52951,  3780016.22412, 20230517
